annotation,SYMBOL
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
signaling receptor binding,TESPA1
phospholipase binding,TESPA1
protein binding,SMCO3
protein binding,SMCO3
protein binding,SMCO3
protein binding,SMCO3
hydroxylysine kinase activity,HYKK
hydroxylysine kinase activity,HYKK
"DNA-binding transcription factor activity, RNA polymerase II-specific",HMX2
protein binding,FAM234B
protein binding,FAM234B
protein binding,CCDC66
protein binding,CCDC66
protein binding,CCDC66
protein binding,CCDC66
protein binding,CCDC66
protein binding,CCDC66
protein binding,CCDC66
protein binding,CCDC66
protein binding,CCDC66
protein binding,CCDC66
protein binding,CCDC66
microtubule binding,CCDC66
protein homodimerization activity,CCDC66
tRNA binding,TYW5
iron ion binding,TYW5
protein binding,TYW5
protein binding,TYW5
protein homodimerization activity,TYW5
molecular_function,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,MYBPHL
protein binding,TMEM132E-DT
protein binding,TMEM132E-DT
calcium oxalate binding,CCDC144A
guanyl-nucleotide exchange factor activity,DENND3
guanyl-nucleotide exchange factor activity,DENND3
protein binding,TMEM89
protein binding,TMEM89
enzyme activator activity,CLPSL1
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
protein binding,DCDC2B
"racemase and epimerase activity, acting on carbohydrates and derivatives",FUOM
L-fucose mutarotase activity,FUOM
fucose binding,FUOM
peptidase inhibitor activity,SSPOP
G protein-coupled receptor activity,OR2M5
protein binding,VWA8
protein binding,VWA8
protein binding,VWA8
ATP binding,VWA8
ATP hydrolysis activity,VWA8
protein binding,SMIM30
protein homodimerization activity,CRPPA
D-ribitol-5-phosphate cytidylyltransferase activity,CRPPA
cytidylyltransferase activity,CRPPA
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
protein binding,FAM221A
amyloid-beta binding,GSAP
protein binding,GSAP
zinc ion binding,ZNF804B
magnesium ion binding,GTPBP10
RNA binding,GTPBP10
protein binding,GTPBP10
protein binding,GTPBP10
protein binding,GTPBP10
protein binding,WDR91
protein binding,WDR91
protein binding,WDR91
protein binding,WDR91
protein binding,WDR91
protein binding,WDR91
carbohydrate binding,KLRG2
protein binding,RAB19
protein binding,RAB19
protein binding,RAB19
protein binding,RAB19
GTP binding,RAB19
guanyl-nucleotide exchange factor activity,DENND11
non-membrane spanning protein tyrosine phosphatase activity,CDC14C
myosin phosphatase activity,CDC14C
"protein tyrosine phosphatase activity, metal-dependent",CDC14C
calmodulin-dependent protein phosphatase activity,CDC14C
RNA endonuclease activity,MBLAC1
protein binding,MBLAC1
protein binding,MBLAC1
metal ion binding,MBLAC1
kinase activity,PMS2P1
ATP hydrolysis activity,PMS2P1
G protein-coupled receptor activity,OR2A25
calcium ion binding,EFCAB5
DNA binding,EME2
protein binding,EME2
protein binding,CFAP90
protein binding,CFAP90
protein binding,CFAP90
protein binding,CFAP90
kinase activity,PI4KAP2
actin filament binding,XIRP2
alpha-actinin binding,XIRP2
protein binding,POTEF
protein binding,POTEF
protein binding,POTEF
protein binding,POTEF
protein binding,POTEF
protein binding,POTEF
protein binding,POTEF
protein binding,POTEF
protein binding,POTEF
protein binding,POTEF
molecular_function,FITM1
coenzyme A diphosphatase activity,FITM1
triglyceride binding,FITM1
diacylglycerol binding,FITM1
protein binding,CLEC18A
protein binding,CLEC18A
protein binding,CLEC18A
protein binding,CLEC18A
protein binding,CLEC18A
protein binding,CLEC18A
polysaccharide binding,CLEC18A
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
