annotation,SYMBOL
regulation of transcription by RNA polymerase II,CDC14C
spermatogenesis,SPMIP7
cell differentiation,SPMIP7
histone mRNA metabolic process,MBLAC1
mRNA 3'-end processing,MBLAC1
mismatch repair,PMS2P1
G protein-coupled receptor signaling pathway,OR2A25
long-term synaptic depression,GRID2IP
double-strand break repair,EME2
replication fork processing,EME2
flagellated sperm motility,CFAP90
phosphatidylinositol phosphate biosynthetic process,PI4KAP2
ventricular septum development,XIRP2
cell-cell junction organization,XIRP2
cardiac muscle tissue morphogenesis,XIRP2
lipid droplet organization,FITM1
fat cell differentiation,FITM1
macroautophagy,VPS37C
multivesicular body assembly,VPS37C
multivesicular body assembly,VPS37C
viral budding via host ESCRT complex,VPS37C
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,VPS37C
determination of left/right symmetry,ODAD3
outer dynein arm assembly,ODAD3
cell morphogenesis,ODAD3
cilium movement,ODAD3
cilium movement,ODAD3
cilium movement,ODAD3
spermatogenesis,ODAD3
single fertilization,ODAD3
brain development,ODAD3
flagellated sperm motility,ODAD3
multicellular organism growth,ODAD3
homeostasis of number of cells,ODAD3
epithelial cilium movement involved in determination of left/right asymmetry,ODAD3
determination of heart left/right asymmetry,ODAD3
seminiferous tubule development,ODAD3
sperm axoneme assembly,CFAP69
flagellated sperm motility,CFAP69
sensory perception of smell,CFAP69
olfactory behavior,CFAP69
proteolysis,PSMB11
T cell differentiation in thymus,PSMB11
"CD8-positive, alpha-beta T cell differentiation",PSMB11
signal transduction,PSD
neuron projection development,PSD
regulation of ARF protein signal transduction,PSD
biological_process,KRBA1
fatty acid metabolic process,PEDS1
ether lipid biosynthetic process,PEDS1
ether lipid biosynthetic process,PEDS1
endoplasmic reticulum to Golgi vesicle-mediated transport,TRAPPC13
vesicle coating,TRAPPC13
serotonin receptor signaling pathway,HTR3E
excitatory postsynaptic potential,HTR3E
negative regulation of transcription by RNA polymerase II,CNOT1
nuclear-transcribed mRNA poly(A) tail shortening,CNOT1
trophectodermal cell differentiation,CNOT1
positive regulation of cytoplasmic mRNA processing body assembly,CNOT1
negative regulation of translation,CNOT1
negative regulation of intracellular estrogen receptor signaling pathway,CNOT1
miRNA-mediated post-transcriptional gene silencing,CNOT1
miRNA-mediated post-transcriptional gene silencing,CNOT1
negative regulation of retinoic acid receptor signaling pathway,CNOT1
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,CNOT1
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,CNOT1
positive regulation of mRNA catabolic process,CNOT1
carnosine biosynthetic process,CARNS1
carnosine biosynthetic process,CARNS1
L-histidine catabolic process,CARNS1
carnosine biosynthetic process,CARNS1
retina layer formation,MEGF11
homotypic cell-cell adhesion,MEGF11
homophilic cell adhesion via plasma membrane adhesion molecules,CDHR4
autophagy,TMEM150B
positive regulation of cytokine production,CCDC88B
